Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
HDHQMR10ArmorWinterDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\nRepair with Repair Kits.\n\nBANDIT Variants have higher Mags and Firerate, but are not so accurate.\nBonus: AutomaticWeapons-Perk +2",,,,,
HDHQPistolArmorWinter,items,Gun,KgNone,BANDIT Pistol,,,,,
HDHQPistolArmorWinterDesc,items,Gun,EnChanged,"A basic Pistol that uses 9mm ammo.\nRepair with Repair Kits.\n\nBANDIT Variants have higher Mags and Firerate, but are not so accurate.\nBonus: AutomaticWeapons-Perk +2",,,,,
HDHQPumpShotgunArmorWinter,items,Gun,KgNone,BANDIT Shotgun,,,,,
HDHQPumpShotgunArmorWinterDesc,items,Gun,EnChanged,"A long-barreled shotgun uses shells for ammo.\nRepair with Repair Kits.\n\nBANDIT Variants have higher Mags and Firerate, but are not so accurate.\nBonus: AutomaticWeapons-Perk +2",,,,,
HDHQSMG5ArmorWinter,items,Gun,KgNone,BANDIT SMG-5,,,,,
HDHQSMG5ArmorWinterDesc,items,Gun,EnChanged,"This submachine gun uses 9mm ammo.\nRepair with Repair Kits.\n\nBANDIT Variants have higher Mags and Firerate, but are not so accurate.\nBonus: AutomaticWeapons-Perk +2",,,,,
HDHQ44MagnumCamoDesert,items,Gun,KgNone,TORGUE .44 Magnum,,,,,
HDHQ44MagnumCamoDesertDesc,items,Gun,KgNone,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with Repair Kits.\n\nTORGUE Variants shoot Explosive Bullets or Shells, but only have a 1-Shot-Magazine and are not so accurate.\nBonus: ExplosiveWeapons-Perk +2",,,,,
HDHQAK47CamoDesert,items,Gun,KgNone,TORGUE AK-47 Assault Rifle,,,,,
HDHQAK47CamoDesertDesc,items,Gun,KgNone,"This badass AK-47 Assault Rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nTORGUE Variants shoot Explosive Bullets or Shells, but only have a 1-Shot-Magazine and are not so accurate.\nBonus: ExplosiveWeapons-Perk +2",,,,,
HDHQHuntingRifleCamoDesert,items,Gun,KgNone,TORGUE Hunting Rifle,,,,,
HDHQHuntingRifleCamoDesertDesc,items,Gun,EnChanged,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nTORGUE Variants shoot Explosive Bullets or Shells, but only have a 1-Shot-Magazine and are not so accurate.\nBonus: ExplosiveWeapons-Perk +2",,,,,
HDHQMR10CamoDesert,items,Gun,KgNone,TORGUE Marksman Rifle,,,,,
HDHQMR10CamoDesertDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\nRepair with Repair Kits.\n\nTORGUE Variants shoot Explosive Bullets or Shells, but only have a 1-Shot-Magazine and are not so accurate.\nBonus: ExplosiveWeapons-Perk +2",,,,,
HDHQPistolCamoDesert,items,Gun,KgNone,TORGUE Pistol,,,,,
HDHQPistolCamoDesertDesc,items,Gun,EnChanged,"A basic Pistol that uses 9mm ammo.\nRepair with Repair Kits.\n\nTORGUE Variants shoot Explosive Bullets or Shells, but only have a 1-Shot-Magazine and are not so accurate.\nBonus: ExplosiveWeapons-Perk +2",,,,,
HDHQPumpShotgunCamoDesert,items,Gun,KgNone,TORGUE Shotgun,,,,,
HDHQPumpShotgunCamoDesertDesc,items,Gun,EnChanged,"A long-barreled shotgun uses shells for ammo.\nRepair with Repair Kits.\n\nTORGUE Variants shoot Explosive Bullets or Shells, but only have a 1-Shot-Magazine and are not so accurate.\nBonus: ExplosiveWeapons-Perk +2",,,,,
HDHQSMG5CamoDesert,items,Gun,KgNone,TORGUE SMG-5,,,,,
HDHQSMG5CamoDesertDesc,items,Gun,EnChanged,"This submachine gun uses 9mm ammo.\nRepair with Repair Kits.\n\nTORGUE Variants shoot Explosive Bullets or Shells, but only have a 1-Shot-Magazine and are not so accurate.\nBonus: ExplosiveWeapons-Perk +2",,,,,
HDHQ44MagnumAnoBlue,items,Gun,KgNone,MALIWAN ICE-.44 Magnum,,,,,
HDHQ44MagnumAnoBlueDesc,items,Gun,KgNone,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with Repair Kits.\n\nMALIWAN ICE-Variants are ICE-Elemental Weapons, which will stun Targets and do Cold Damage.",,,,,
HDHQAK47AnoBlue,items,Gun,KgNone,MALIWAN ICE-AK-47 Assault Rifle,,,,,
HDHQAK47AnoBlueDesc,items,Gun,KgNone,"This badass AK-47 Assault Rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nMALIWAN ICE-Variants are ICE-Elemental Weapons, which will stun Targets and do Cold Damage.",,,,,
HDHQHuntingRifleAnoBlue,items,Gun,KgNone,MALIWAN ICE-Hunting Rifle,,,,,
HDHQHuntingRifleAnoBlueDesc,items,Gun,EnChanged,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nMALIWAN ICE-Variants are ICE-Elemental Weapons, which will stun Targets and do Cold Damage.",,,,,
HDHQMR10AnoBlue,items,Gun,KgNone,MALIWAN ICE-Marksman Rifle,,,,,
HDHQMR10AnoBlueDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\nRepair with Repair Kits.\n\nMALIWAN ICE-Variants are ICE-Elemental Weapons, which will stun Targets and do Cold Damage.",,,,,
HDHQPistolAnoBlue,items,Gun,KgNone,MALIWAN ICE-Pistol,,,,,
HDHQPistolAnoBlueDesc,items,Gun,EnChanged,"A basic Pistol that uses 9mm ammo.\nRepair with Repair Kits.\n\nMALIWAN ICE-Variants are ICE-Elemental Weapons, which will stun Targets and do Cold Damage.",,,,,
HDHQPumpShotgunAnoBlue,items,Gun,KgNone,MALIWAN ICE-Shotgun,,,,,
HDHQPumpShotgunAnoBlueDesc,items,Gun,EnChanged,"A long-barreled shotgun uses shells for ammo.\nRepair with Repair Kits.\n\nMALIWAN ICE-Variants are ICE-Elemental Weapons, which will stun Targets and do Cold Damage.",,,,,
HDHQSMG5AnoBlue,items,Gun,KgNone,MALIWAN ICE-SMG-5,,,,,
HDHQSMG5AnoBlueDesc,items,Gun,EnChanged,"This submachine gun uses 9mm ammo.\nRepair with Repair Kits.\n\nMALIWAN ICE-Variants are ICE-Elemental Weapons, which will stun Targets and do Cold Damage.",,,,,
HDHQ44MagnumAnoCyan,items,Gun,KgNone,MALIWAN Electro-.44 Magnum,,,,,
HDHQ44MagnumAnoCyanDesc,items,Gun,KgNone,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with Repair Kits.\n\nMALIWAN Electro-Variants are Electricity-Elemental Weapons, which will shock Targets and do Electricity Damage.",,,,,
HDHQAK47AnoCyan,items,Gun,KgNone,MALIWAN Electro-AK-47 Assault Rifle,,,,,
HDHQAK47AnoCyanDesc,items,Gun,KgNone,"This badass AK-47 Assault Rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nMALIWAN Electro-Variants are Electricity-Elemental Weapons, which will shock Targets and do Electricity Damage.",,,,,
HDHQHuntingRifleAnoCyan,items,Gun,KgNone,MALIWAN Electro-Hunting Rifle,,,,,
HDHQHuntingRifleAnoCyanDesc,items,Gun,EnChanged,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nMALIWAN Electro-Variants are Electricity-Elemental Weapons, which will shock Targets and do Electricity Damage.",,,,,
HDHQMR10AnoCyan,items,Gun,KgNone,MALIWAN Electro-Marksman Rifle,,,,,
HDHQMR10AnoCyanDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\nRepair with Repair Kits.\n\nMALIWAN Electro-Variants are Electricity-Elemental Weapons, which will shock Targets and do Electricity Damage.",,,,,
HDHQPistolAnoCyan,items,Gun,KgNone,MALIWAN Electro-Pistol,,,,,
HDHQPistolAnoCyanDesc,items,Gun,EnChanged,"A basic Pistol that uses 9mm ammo.\nRepair with Repair Kits.\n\nMALIWAN Electro-Variants are Electricity-Elemental Weapons, which will shock Targets and do Electricity Damage.",,,,,
HDHQPumpShotgunAnoCyan,items,Gun,KgNone,MALIWAN Electro-Shotgun,,,,,
HDHQPumpShotgunAnoCyanDesc,items,Gun,EnChanged,"A long-barreled shotgun uses shells for ammo.\nRepair with Repair Kits.\n\nMALIWAN Electro-Variants are Electricity-Elemental Weapons, which will shock Targets and do Electricity Damage.",,,,,
HDHQSMG5AnoCyan,items,Gun,KgNone,MALIWAN Electro-SMG-5,,,,,
HDHQSMG5AnoCyanDesc,items,Gun,EnChanged,"This submachine gun uses 9mm ammo.\nRepair with Repair Kits.\n\nMALIWAN Electro-Variants are Electricity-Elemental Weapons, which will shock Targets and do Electricity Damage.",,,,,
HDHQ44MagnumAnoRed,items,Gun,KgNone,MALIWAN FIRE-.44 Magnum,,,,,
HDHQ44MagnumAnoRedDesc,items,Gun,KgNone,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with Repair Kits.\n\nMALIWAN FIRE-Variants are FIRE-Elemental Weapons, which will burn Targets and do Fire Damage.",,,,,
HDHQAK47AnoRed,items,Gun,KgNone,MALIWAN FIRE-AK-47 Assault Rifle,,,,,
HDHQAK47AnoRedDesc,items,Gun,KgNone,"This badass AK-47 Assault Rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nMALIWAN FIRE-Variants are FIRE-Elemental Weapons, which will burn Targets and do Fire Damage.",,,,,
HDHQHuntingRifleAnoRed,items,Gun,KgNone,MALIWAN FIRE-Hunting Rifle,,,,,
HDHQHuntingRifleAnoRedDesc,items,Gun,EnChanged,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nMALIWAN FIRE-Variants are FIRE-Elemental Weapons, which will burn Targets and do Fire Damage.",,,,,
HDHQMR10AnoRed,items,Gun,KgNone,MALIWAN FIRE-Marksman Rifle,,,,,
HDHQMR10AnoRedDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\nRepair with Repair Kits.\n\nMALIWAN FIRE-Variants are FIRE-Elemental Weapons, which will burn Targets and do Fire Damage.",,,,,
HDHQPistolAnoRed,items,Gun,KgNone,MALIWAN FIRE-Pistol,,,,,
HDHQPistolAnoRedDesc,items,Gun,EnChanged,"A basic Pistol that uses 9mm ammo.\nRepair with Repair Kits.\n\nMALIWAN FIRE-Variants are FIRE-Elemental Weapons, which will burn Targets and do Fire Damage.",,,,,
HDHQPumpShotgunAnoRed,items,Gun,KgNone,MALIWAN FIRE-Shotgun,,,,,
HDHQPumpShotgunAnoRedDesc,items,Gun,EnChanged,"A long-barreled shotgun uses shells for ammo.\nRepair with Repair Kits.\n\nMALIWAN FIRE-Variants are FIRE-Elemental Weapons, which will burn Targets and do Fire Damage.",,,,,
HDHQSMG5AnoRed,items,Gun,KgNone,MALIWAN FIRE-SMG-5,,,,,
HDHQSMG5AnoRedDesc,items,Gun,EnChanged,"This submachine gun uses 9mm ammo.\nRepair with Repair Kits.\n\nMALIWAN FIRE-Variants are FIRE-Elemental Weapons, which will burn Targets and do Fire Damage.",,,,,
HDHQ44MagnumJade,items,Gun,KgNone,MALIWAN TOXIC-.44 Magnum,,,,,
HDHQ44MagnumJadeDesc,items,Gun,KgNone,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with Repair Kits.\n\nMALIWAN TOXIC-Variants are Toxic-Elemental Weapons, which will burn Targets and do Toxic Damage.",,,,,
HDHQAK47Jade,items,Gun,KgNone,MALIWAN TOXIC-AK-47 Assault Rifle,,,,,
HDHQAK47JadeDesc,items,Gun,KgNone,"This badass AK-47 Assault Rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nMALIWAN TOXIC-Variants are Toxic-Elemental Weapons, which will burn Targets and do Toxic Damage.",,,,,
HDHQHuntingRifleJade,items,Gun,KgNone,MALIWAN TOXIC-Hunting Rifle,,,,,
HDHQHuntingRifleJadeDesc,items,Gun,EnChanged,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nMALIWAN TOXIC-Variants are Toxic-Elemental Weapons, which will burn Targets and do Toxic Damage.",,,,,
HDHQMR10Jade,items,Gun,KgNone,MALIWAN TOXIC-Marksman Rifle,,,,,
HDHQMR10JadeDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\nRepair with Repair Kits.\n\nMALIWAN TOXIC-Variants are Toxic-Elemental Weapons, which will burn Targets and do Toxic Damage.",,,,,
HDHQPistolJade,items,Gun,KgNone,MALIWAN TOXIC-Pistol,,,,,
HDHQPistolJadeDesc,items,Gun,EnChanged,"A basic Pistol that uses 9mm ammo.\nRepair with Repair Kits.\n\nMALIWAN TOXIC-Variants are Toxic-Elemental Weapons, which will burn Targets and do Toxic Damage.",,,,,
HDHQPumpShotgunJade,items,Gun,KgNone,MALIWAN TOXIC-Shotgun,,,,,
HDHQPumpShotgunJadeDesc,items,Gun,EnChanged,"A long-barreled shotgun uses shells for ammo.\nRepair with Repair Kits.\n\nMALIWAN TOXIC-Variants are Toxic-Elemental Weapons, which will burn Targets and do Toxic Damage.",,,,,
HDHQSMG5Jade,items,Gun,KgNone,MALIWAN TOXIC-SMG-5,,,,,
HDHQSMG5JadeDesc,items,Gun,EnChanged,"This submachine gun uses 9mm ammo.\nRepair with Repair Kits.\n\nMALIWAN TOXIC-Variants are Toxic-Elemental Weapons, which will burn Targets and do Toxic Damage.",,,,,
manux_vehicleHP4x4TruckPlaceable,vehicles,item,EnChanged,4x4 Truck,,,,,
manux_vehicleHP4x4TruckDescAlt,vehicles,vehicle,EnChanged,"It's still the standard 4x4 as you HAVEN'T installed Manux's Custom Vehicles!",,,,,
manux_vehicleRoadHogPlaceable,vehicles,item,EnChanged,MotorCycle,,,,,
manux_vehicleRoadHogDescAlt,vehicles,vehicle,EnChanged,"You could have had a better more bloodier Version of this, IF you would have installed Manux's Custom Vehicles!",,,,,
manux_vehicleJetPackPlaceable,items,Food,KgNone,Beer,Bière,Bier,,Cerveza,
manux_vehicleJetPackDescAlt,items,Food,EnChanged,"You wonder what you would have got when you would have installed Manux's Custom Vehicles!!!!!",,,,,
npcTraderBilly,entityclasses,Entity,New,Trader Billy,,,,,
npcTraderStuart,entityclasses,Entity,New,Trader Stuart,,,,,
npcTraderBorat,entityclasses,Entity,New,Trader Borat,,,,,
npcTraderKen,entityclasses,Entity,New,Trader Ken,,,,,
npcTraderPiper,entityclasses,Entity,New,Trader Piper,,,,,
buffSleepingBonusName,buffs,Buff,New,Sleeping,,,,,
buffSleepingBonusDesc,buffs,Buff,New,Sleeping in a Bed,,,,,
buffSleepingBonusTooltip,buffs,Buff,New,Sleeping in a Bed heals you slowly,,,,,
statBurstRoundCount,UI,Item stat,New,Burst Round Count or Full Auto,,,,,
lblContextActionAmmozonebuy,UI,Item Context Menu,New,Buy Now,,,,,
keystoneBlockPickup,blocks,Block,KgNone,Land Claim Block (Pickable),,,,,
keystoneBlockPickupDesc,blocks,Block,EnChanged,A placed land claim block that can be picked up.,,,,,
perkPackMuleRank1Desc,progression,Perk,New,Carry 10 more items without being encumbered.,,,,,
perkPackMuleRank2Desc,progression,Perk,New,Carry 10 more items without being encumbered.,,,,,
perkPackMuleRank3Desc,progression,Perk,New,Carry 10 more items without being encumbered.,,,,,
perkPackMuleRank4Desc,progression,Perk,New,Carry 10 more items without being encumbered.,,,,,
perkPackMuleRank5Desc,progression,Perk,New,Carry 10 more items without being encumbered.,,,,,
perkPackMuleRank6Desc,progression,Perk,New,Carry 10 more items without being encumbered.,,,,,
perkPackMuleRank7Desc,progression,Perk,New,Carry 10 more items without being encumbered.,,,,,
reqPerceptionLevel08,progression,Attribute,New,Perception Level 8,,,,,
reqPerceptionLevel09,progression,Attribute,New,Perception Level 9,,,,,
reqStrengthLevel09,progression,Attribute,New,Strength Level 9,,,,,
perkHeadshotRank1Desc,progression,Perk,New,Increase Ranged Weapon Headshot damage by 20%.\n+5% chance to explode heads on hit.,,,,,
perkHeadshotRank2Desc,progression,Perk,New,Increase Ranged Weapon Headshot damage by 40%.\n+10% chance to explode heads on hit.,,,,,
perkHeadshotRank3Desc,progression,Perk,New,Increase Ranged Weapon Headshot damage by 60%.\n+15% chance to explode heads on hit.,,,,,
perkHeadshotRank4Desc,progression,Perk,New,Increase Ranged Weapon Headshot damage by 80%.\n+20% chance to explode heads on hit.,,,,,
perkHeadshotRank5Desc,progression,Perk,New,Increase Ranged Weapon Headshot damage by 100%.\n+25% chance to explode heads on hit.,,,,,
perkHeadshotRank6Desc,progression,Perk,New,Increase Ranged Weapon Headshot damage by 120%.\n+30% chance to explode heads on hit.,,,,,
perkHeadshotRank7Desc,progression,Perk,New,Increase Ranged Weapon Headshot damage by 140%.\n+35% chance to explode heads on hit.,,,,,
perkRunAndGunRank1Desc,progression,Perk,New,Hip fire accuracy is improved by 5%.\nMovement penalty when reloading is reduced 20%.,,,,,
perkRunAndGunRank2Desc,progression,Perk,New,Hip fire accuracy is improved by 10%.\nMovement penalty when reloading is reduced 40%.,,,,,
perkRunAndGunRank3Desc,progression,Perk,New,Hip fire accuracy is improved by 15%.\nMovement penalty when reloading is reduced 60%.,,,,,
perkRunAndGunRank4Desc,progression,Perk,New,Hip fire accuracy is improved by 20%.\nMovement penalty when reloading is reduced 80%.,,,,,
perkRunAndGunRank5Desc,progression,Perk,New,Hip fire accuracy is improved by 25%.\nNo movement penalty when reloading.,,,,,
perkRunAndGunRank6Desc,progression,Perk,New,Hip fire accuracy is improved by 30%.\nNo movement penalty when reloading.,,,,,
perkRunAndGunRank7Desc,progression,Perk,New,Hip fire accuracy is improved by 35%.\nNo movement penalty when reloading.,,,,,
storeShelving01Full,blocks,Block,KgNone,Store Shelves,,,,,
storeShelving01DoubleFull,blocks,Block,KgNone,Store Shelves Double,,,,,
storeShelving01TopFull,blocks,Block,KgNone,Store Shelves (Top),,,,,
storeShelving01TopDoubleFull,blocks,Block,KgNone,Store Shelves Double (Top),,,,,
storeShelving01Empty,blocks,Block,KgNone,Store Shelves,,,,,
storeShelving01DoubleEmpty,blocks,Block,KgNone,Store Shelves Double,,,,,
storeShelving01TopEmpty,blocks,Block,KgNone,Store Shelves (Top),,,,,
storeShelving01TopDoubleEmpty,blocks,Block,KgNone,Store Shelves Double (Top),,,,,
BZIronBars,blocks,Block,KgNone,Fortified Iron Bars,Barreaux en fer,Eisenstangen,,Barras de hierro,
BZIronBarsCentered,blocks,Block,New,Fortified Iron Bars Centered,,Eisenstangen mittig,,Barras de hierro centrada,
BZIronBarsDesc,blocks,Block,GrChanged,You can see and shoot through iron bars and they offer decent protection.,Vous pouvez voir et tirer à travers les barreaux en fer et ils offrent une bonne protection.,Durch Eisenstangen kannst du hindurchsehen und -schießen. Sie bieten auch ganz guten Schutz.,,"Puedes ver y disparar a través de las barras de hierro y, además, ofrecen buena protección.",
cntCollapsedCementMixer,blocks,Container,New,Cement Mixer,,,,,
cntCollapsedChemistryStation,blocks,Container,New,Chemistry Station,,,,,
cntCollapsedForge,blocks,Container,New,Forge,,,,,
cntCollapsedWorkbench,blocks,Container,New,Workbench,,,,,
CCTV0-3,blocks,Block,KgNone,CCTV 0-3,,,,,
CCTV4-7,blocks,Block,KgNone,CCTV 4-7,,,,,
CCTVLarge0-3,blocks,Block,KgNone,Large CCTV 0-3,,,,,
CCTVLarge4-7,blocks,Block,KgNone,Large CCTV 4-7,,,,,
CamPan0,blocks,Block,KgNone,Security Cam 0,,,,,
CamPan1,blocks,Block,KgNone,Security Cam 1,,,,,
CamPan2,blocks,Block,KgNone,Security Cam 2,,,,,
CamPan3,blocks,Block,KgNone,Security Cam 3,,,,,
CamPan4,blocks,Block,KgNone,Security Cam 4,,,,,
CamPan5,blocks,Block,KgNone,Security Cam 5,,,,,
CamPan6,blocks,Block,KgNone,Security Cam 6,,,,,
CamPan7,blocks,Block,KgNone,Security Cam 7,,,,,
CamPanSm0,blocks,Block,KgNone,Small Security Cam 0,,,,,
CamPanSm1,blocks,Block,KgNone,Small Security Cam 1,,,,,
CamPanSm2,blocks,Block,KgNone,Small Security Cam 2,,,,,
CamPanSm3,blocks,Block,KgNone,Small Security Cam 3,,,,,
CamPanSm4,blocks,Block,KgNone,Small Security Cam 4,,,,,
CamPanSm5,blocks,Block,KgNone,Small Security Cam 5,,,,,
CamPanSm6,blocks,Block,KgNone,Small Security Cam 6,,,,,
CamPanSm7,blocks,Block,KgNone,Small Security Cam 7,,,,,
cntACMECBox,blocks,Container,KgNone,ACME Security Box,,,,,
cntACMECBoxLocked,blocks,Container,KgNone,ACME Security Box,,,,,
cntACMECBoxLockedDesc,blocks,Container,KgNone,"ACME Agent Equipment: ACME Security Box including two Sets of 4 Security Cams with a centralized control System.\nTo Activate attach wires to each Component and immediately release it again, then use <E> to activate the Components!\n(Break the lock in case you lost the Key)",,,,,
cntACMECBoxLockedDesc2,blocks,Container,KgNone,"Secured ACME Agent Equipment\n(Lock seems unbreakable. You can't get anything useful here.)",,,,,
laptop,blocks,Block,KgNone,ACME AMMOZONE Laptop,,,,,
laptopDesc,blocks,Block,KgNone,"Special Equipment for ACME Agents to buy Field Supplies from the AMMOZONE trader Consortium. Delivery will be 1-4 hours after successful buying. Keep in mind the Courier will only deliver one package at a time!",,,,,
cntACMEVBox,blocks,Container,KgNone,ACME Vehicle Box,,,,,
